snapshot,trainOrder,stop,arrivalTime,departureTime,OccupancyArrival,OccupancyDeparture,occupancyPlatformBeforeArrival,occupancyPlatform,peopleIn,FTB,peopleOut,stops,stops_output,stops_diff,peopleIn_output,peopleIn_diff,peopleIn_diff_abs,peopleIn_diff_perc,peopleIn_diff_perc_2,peopleOut_output,peopleOut_diff,peopleOut_diff_abs,peopleOut_diff_perc,peopleOut_diff_perc_2,FTB_output,FTB_diff,FTB_diff_abs,FTB_diff_perc,FTB_diff_perc_2
2019-12-02,1,SAN ISIDRO,2019-12-02T04:52:40.000Z,2019-12-02T04:52:40.000Z,0.0,0.0,63,63,0.0,0.0,0.0,False,True,True,49.25,-49.25,49.25,100.0,100.0,0.0,0.0,0.0,100.0,100.0,16.75,-16.75,16.75,100.0,100.0
2019-12-02,1,LOS ANDES,2019-12-02T04:55:31.000Z,2019-12-02T04:55:31.000Z,0.0,0.0,39,39,0.0,0.0,0.0,False,True,True,30.16,-30.16,30.16,100.0,100.0,0.0,0.0,0.0,100.0,100.0,9.84,-9.84,9.84,100.0,100.0
2019-12-02,1,PAN DE AZUCAR,2019-12-02T04:57:25.000Z,2019-12-02T05:00:22.000Z,0.0,40.0,36,41,40.0,1.0,0.0,True,True,False,33.7964,6.203600000000002,6.203600000000002,15.509,18.3558,0.0,0.0,0.0,100.0,100.0,9.2036,-8.2036,8.2036,820.36,89.13469
2019-12-02,1,SAN MIGUELITO,2019-12-02T05:02:31.000Z,2019-12-02T05:02:43.000Z,40.0,84.0,53,57,47.0,10.0,3.0,True,True,False,60.0,-13.0,13.0,27.65957,21.66667,5.3505,-2.3505000000000003,2.3505000000000003,78.35,43.93047,0.0,10.0,10.0,100.0,100.0
2019-12-02,2,SAN MIGUELITO,2019-12-02T05:10:16.000Z,2019-12-02T05:10:28.000Z,556.0,522.0,42,44,34.0,10.0,68.0,True,True,False,35.0,-1.0,1.0,2.94118,2.85714,64.8059,3.194100000000006,3.194100000000006,4.69721,4.92872,0.0,10.0,10.0,100.0,100.0
2019-12-02,2,PAN DE AZUCAR,2019-12-02T05:08:10.000Z,2019-12-02T05:08:22.000Z,535.0,556.0,22,24,22.0,2.0,1.0,True,True,False,32.2036,-10.203600000000002,10.203600000000002,46.38,31.68466,0.8333,0.16669999999999996,0.16669999999999996,16.67,20.0048,0.0,2.0,2.0,100.0,100.0
2019-12-02,2,LOS ANDES,2019-12-02T05:06:16.000Z,2019-12-02T05:06:31.000Z,332.0,535.0,229,233,207.0,26.0,4.0,True,True,False,184.8331,22.1669,22.1669,10.70865,11.99293,3.1507,0.8492999999999999,0.8492999999999999,21.2325,26.95591,35.0069,-9.006900000000002,9.006900000000002,34.64192,25.72893
2019-12-02,2,SAN ISIDRO,2019-12-02T05:03:25.000Z,2019-12-02T05:03:43.000Z,0.0,332.0,365,376,332.0,44.0,0.0,True,True,False,277.4676,54.532399999999996,54.532399999999996,16.42542,19.65361,0.0,0.0,0.0,100.0,100.0,70.2825,-26.2825,26.2825,59.73295,37.39551
2019-12-02,3,SAN ISIDRO,2019-12-02T05:06:38.000Z,2019-12-02T05:07:32.000Z,0.0,154.0,150,181,154.0,27.0,0.0,True,True,False,169.3588,-15.358800000000002,15.358800000000002,9.97325,9.06879,0.0,0.0,0.0,100.0,100.0,44.9237,-17.923699999999997,17.923699999999997,66.38407,39.89809
2019-12-02,3,LOS ANDES,2019-12-02T05:10:08.000Z,2019-12-02T05:10:20.000Z,154.0,239.0,96,96,88.0,8.0,3.0,True,True,False,92.3634,-4.363399999999999,4.363399999999999,4.95841,4.72417,2.9134,0.08659999999999979,0.08659999999999979,2.88667,2.97247,18.6435,-10.6435,10.6435,133.04375,57.0896
2019-12-02,3,PAN DE AZUCAR,2019-12-02T05:11:59.000Z,2019-12-02T05:12:14.000Z,239.0,255.0,16,20,16.0,4.0,0.0,True,True,False,18.0,-2.0,2.0,12.5,11.11111,0.1667,-0.1667,0.1667,100.0,100.0,0.0,4.0,4.0,100.0,100.0
2019-12-02,3,SAN MIGUELITO,2019-12-02T05:14:05.000Z,2019-12-02T05:14:17.000Z,255.0,231.0,31,31,23.0,8.0,47.0,True,True,False,21.0,2.0,2.0,8.69565,9.52381,44.4767,2.523299999999999,2.523299999999999,5.36872,5.67331,0.0,8.0,8.0,100.0,100.0
2019-12-02,4,SAN ISIDRO,2019-12-02T05:10:52.000Z,2019-12-02T05:11:58.000Z,0.0,187.0,184,216,187.0,29.0,0.0,True,True,False,192.5582,-5.558199999999999,5.558199999999999,2.9723,2.8865,0.0,0.0,0.0,100.0,100.0,50.3655,-21.365499999999997,21.365499999999997,73.67414,42.4209
2019-12-02,4,LOS ANDES,2019-12-02T05:14:28.000Z,2019-12-02T05:14:43.000Z,187.0,303.0,124,133,120.0,13.0,4.0,True,True,False,124.54679999999999,-4.54679999999999,4.54679999999999,3.789,3.65068,3.9184,0.0815999999999999,0.0815999999999999,2.04,2.08248,25.0966,-12.096599999999999,12.096599999999999,93.05077,48.20015
2019-12-02,4,SAN MIGUELITO,2019-12-02T05:18:28.000Z,2019-12-02T05:18:40.000Z,339.0,344.0,54,54,53.0,1.0,48.0,True,True,False,47.0,6.0,6.0,11.32075,12.76596,55.7126,-7.712600000000002,7.712600000000002,16.06792,13.84355,0.0,1.0,1.0,100.0,100.0
2019-12-02,4,PAN DE AZUCAR,2019-12-02T05:16:22.000Z,2019-12-02T05:16:34.000Z,303.0,339.0,37,40,37.0,3.0,1.0,True,True,False,38.0,-1.0,1.0,2.7027,2.63158,0.7456,0.25439999999999996,0.25439999999999996,25.44,34.12017,0.0,3.0,3.0,100.0,100.0
2019-12-02,5,SAN MIGUELITO,2019-12-02T05:22:46.000Z,2019-12-02T05:22:58.000Z,326.0,303.0,39,42,33.0,9.0,56.0,True,True,False,42.0,-9.0,9.0,27.27273,21.42857,49.8481,6.151899999999998,6.151899999999998,10.98554,12.34129,0.0,9.0,9.0,100.0,100.0
2019-12-02,5,PAN DE AZUCAR,2019-12-02T05:20:46.000Z,2019-12-02T05:20:55.000Z,303.0,326.0,24,25,23.0,2.0,0.0,True,True,False,23.0,0.0,0.0,0.0,0.0,1.7393,-1.7393,1.7393,100.0,100.0,0.0,2.0,2.0,100.0,100.0
2019-12-02,5,SAN ISIDRO,2019-12-02T05:14:25.000Z,2019-12-02T05:16:22.000Z,0.0,196.0,139,224,196.0,28.0,0.0,True,True,False,201.8261,-5.826099999999997,5.826099999999997,2.9725,2.88669,0.0,0.0,0.0,100.0,100.0,52.539500000000004,-24.539500000000004,24.539500000000004,87.64107,46.70676
2019-12-02,5,LOS ANDES,2019-12-02T05:18:52.000Z,2019-12-02T05:19:01.000Z,196.0,303.0,109,113,107.0,6.0,0.0,True,True,False,114.0606,-7.060599999999994,7.060599999999994,6.59869,6.19022,1.0175,-1.0175,1.0175,100.0,100.0,22.036,-16.036,16.036,267.26667,72.77183
2019-12-02,6,SAN ISIDRO,2019-12-02T05:21:53.000Z,2019-12-02T05:22:08.000Z,0.0,212.0,224,230,212.0,18.0,0.0,True,True,False,215.737,-3.7369999999999948,3.7369999999999948,1.76274,1.7322,0.0,0.0,0.0,100.0,100.0,55.8024,-37.8024,37.8024,210.01333,67.74332
2019-12-02,6,LOS ANDES,2019-12-02T05:24:38.000Z,2019-12-02T05:24:50.000Z,212.0,381.0,181,184,173.0,11.0,4.0,True,True,False,176.04940000000002,-3.04940000000002,3.04940000000002,1.76266,1.73213,2.9808,1.0192,1.0192,25.48,34.19216,35.9866,-24.986600000000003,24.986600000000003,227.15091,69.43307
2019-12-02,6,PAN DE AZUCAR,2019-12-02T05:26:32.000Z,2019-12-02T05:26:44.000Z,381.0,420.0,45,45,39.0,6.0,0.0,True,True,False,43.0,-4.0,4.0,10.25641,9.30233,0.5151,-0.5151,0.5151,100.0,100.0,0.0,6.0,6.0,100.0,100.0
2019-12-02,6,SAN MIGUELITO,2019-12-02T05:28:47.000Z,2019-12-02T05:28:59.000Z,420.0,435.0,99,101,88.0,13.0,73.0,True,True,False,98.0,-10.0,10.0,11.36364,10.20408,70.252,2.7480000000000047,2.7480000000000047,3.76438,3.91163,0.0,13.0,13.0,100.0,100.0
