trainOrder,stop,Destination,FTB
1,SAN ISIDRO,2,0.0
1,SAN ISIDRO,3,0.0
1,SAN ISIDRO,4,2.2386
1,SAN ISIDRO,5,47.0114
1,LOS ANDES,3,0.0
1,LOS ANDES,4,2.9926
1,LOS ANDES,5,76.4174
1,PAN DE AZUCAR,4,5.3505
1,PAN DE AZUCAR,5,107.8559
1,SAN MIGUELITO,5,167.8559
2,SAN ISIDRO,2,3.1507
2,SAN ISIDRO,3,0.0
2,SAN ISIDRO,4,35.4187
2,SAN ISIDRO,5,238.8982
2,LOS ANDES,3,0.8333
2,LOS ANDES,4,58.1638
2,LOS ANDES,5,400.1528
2,PAN DE AZUCAR,4,64.8059
2,PAN DE AZUCAR,5,425.7143
2,SAN MIGUELITO,5,460.7143
3,SAN ISIDRO,2,2.9134
3,SAN ISIDRO,3,0.0
3,SAN ISIDRO,4,27.9195
3,SAN ISIDRO,5,138.5259
3,LOS ANDES,3,0.1667
3,LOS ANDES,4,41.4767
3,LOS ANDES,5,217.1654
3,PAN DE AZUCAR,4,44.4767
3,PAN DE AZUCAR,5,232.1654
3,SAN MIGUELITO,5,253.1654
4,SAN ISIDRO,2,3.9184
4,SAN ISIDRO,3,0.7456
4,SAN ISIDRO,4,30.7921
4,SAN ISIDRO,5,157.1021
4,LOS ANDES,3,0.7456
4,LOS ANDES,4,50.7126
4,LOS ANDES,5,261.7283
4,PAN DE AZUCAR,4,55.7126
4,PAN DE AZUCAR,5,294.7283
4,SAN MIGUELITO,5,341.7283
5,SAN ISIDRO,2,1.0175
5,SAN ISIDRO,3,1.7393
5,SAN ISIDRO,4,26.1925
5,SAN ISIDRO,5,172.8768
5,LOS ANDES,3,1.7393
5,LOS ANDES,4,47.8481
5,LOS ANDES,5,265.2818
5,PAN DE AZUCAR,4,49.8481
5,PAN DE AZUCAR,5,286.2818
5,SAN MIGUELITO,5,328.2818
6,SAN ISIDRO,2,2.9808
6,SAN ISIDRO,3,0.5151
6,SAN ISIDRO,4,34.756
6,SAN ISIDRO,5,177.4851
6,LOS ANDES,3,0.5151
6,LOS ANDES,4,64.252
6,LOS ANDES,5,324.0385
6,PAN DE AZUCAR,4,70.252
6,PAN DE AZUCAR,5,361.0385
6,SAN MIGUELITO,5,459.0385
7,SAN ISIDRO,2,1.0192
7,SAN ISIDRO,3,1.4719
7,SAN ISIDRO,4,37.6483
7,SAN ISIDRO,5,162.8507
7,LOS ANDES,3,1.4719
7,LOS ANDES,4,62.5059
7,LOS ANDES,5,298.1809
7,PAN DE AZUCAR,4,68.5059
7,PAN DE AZUCAR,5,322.1809
7,SAN MIGUELITO,5,433.8146
8,SAN ISIDRO,2,0.0
8,SAN ISIDRO,3,0.5281
8,SAN ISIDRO,4,47.8468
8,SAN ISIDRO,5,204.8432
8,LOS ANDES,3,0.5281
8,LOS ANDES,4,68.1993
8,LOS ANDES,5,310.9363
8,PAN DE AZUCAR,4,75.1993
8,PAN DE AZUCAR,5,337.9363
8,SAN MIGUELITO,5,390.3027
9,SAN ISIDRO,2,5.4602
9,SAN ISIDRO,3,0.78
9,SAN ISIDRO,4,97.211
9,SAN ISIDRO,5,390.1602
9,LOS ANDES,3,2.464
9,LOS ANDES,4,143.8138
9,LOS ANDES,5,655.5554
9,PAN DE AZUCAR,4,158.8138
9,PAN DE AZUCAR,5,711.5554
9,SAN MIGUELITO,5,882.6765
10,SAN ISIDRO,2,4.3208
10,SAN ISIDRO,3,0.22
10,SAN ISIDRO,4,58.0437
10,SAN ISIDRO,5,223.1718
10,LOS ANDES,3,0.536
10,LOS ANDES,4,92.9969
10,LOS ANDES,5,381.7935
10,PAN DE AZUCAR,4,97.9969
10,PAN DE AZUCAR,5,399.7935
10,SAN MIGUELITO,5,523.7324
11,SAN ISIDRO,2,2.6817
11,SAN ISIDRO,3,0.7313
11,SAN ISIDRO,4,46.3808
11,SAN ISIDRO,5,189.1798
11,LOS ANDES,3,0.7313
11,LOS ANDES,4,77.4414
11,LOS ANDES,5,316.2728
11,PAN DE AZUCAR,4,85.4414
11,PAN DE AZUCAR,5,356.2728
11,SAN MIGUELITO,5,510.39
12,SAN ISIDRO,2,1.2656
12,SAN ISIDRO,3,0.997
12,SAN ISIDRO,4,46.5109
12,SAN ISIDRO,5,153.7715
12,LOS ANDES,3,0.997
12,LOS ANDES,4,76.3693
12,LOS ANDES,5,251.3818
12,PAN DE AZUCAR,4,79.3693
12,PAN DE AZUCAR,5,283.3818
12,SAN MIGUELITO,5,419.5361
13,SAN ISIDRO,2,0.9965
13,SAN ISIDRO,3,0.9965
13,SAN ISIDRO,4,40.5845
13,SAN ISIDRO,5,131.1761
13,LOS ANDES,3,0.9965
13,LOS ANDES,4,64.1333
13,LOS ANDES,5,211.7054
13,PAN DE AZUCAR,4,65.1333
13,PAN DE AZUCAR,5,229.7054
13,SAN MIGUELITO,5,344.5036
14,SAN ISIDRO,2,3.1768
14,SAN ISIDRO,3,0.2752
14,SAN ISIDRO,4,34.3954
14,SAN ISIDRO,5,119.0957
14,LOS ANDES,3,0.2752
14,LOS ANDES,4,55.596
14,LOS ANDES,5,195.4803
14,PAN DE AZUCAR,4,62.596
14,PAN DE AZUCAR,5,210.4803
14,SAN MIGUELITO,5,281.3505
15,SAN ISIDRO,2,3.3727
15,SAN ISIDRO,3,0.7581
15,SAN ISIDRO,4,47.7253
15,SAN ISIDRO,5,168.3131
15,LOS ANDES,3,0.7581
15,LOS ANDES,4,71.7168
15,LOS ANDES,5,261.774
15,PAN DE AZUCAR,4,84.669
15,PAN DE AZUCAR,5,297.6415
15,SAN MIGUELITO,5,335.6415
16,SAN ISIDRO,2,1.461
16,SAN ISIDRO,3,0.9772
16,SAN ISIDRO,4,42.4842
16,SAN ISIDRO,5,159.7198
16,LOS ANDES,3,0.9772
16,LOS ANDES,4,72.7907
16,LOS ANDES,5,270.2546
16,PAN DE AZUCAR,4,77.8386
16,PAN DE AZUCAR,5,300.3871
16,SAN MIGUELITO,5,374.3871
17,SAN ISIDRO,2,2.5235
17,SAN ISIDRO,3,1.0176
17,SAN ISIDRO,4,54.5232
17,SAN ISIDRO,5,184.1276
17,LOS ANDES,3,1.0176
17,LOS ANDES,4,86.5856
17,LOS ANDES,5,320.4146
17,PAN DE AZUCAR,4,87.5856
17,PAN DE AZUCAR,5,344.4146
17,SAN MIGUELITO,5,464.0129
18,SAN ISIDRO,2,2.947
18,SAN ISIDRO,3,0.247
18,SAN ISIDRO,4,51.0922
18,SAN ISIDRO,5,165.0703
18,LOS ANDES,3,0.247
18,LOS ANDES,4,79.4871
18,LOS ANDES,5,280.3214
18,PAN DE AZUCAR,4,85.4871
18,PAN DE AZUCAR,5,313.3214
18,SAN MIGUELITO,5,471.4966
19,SAN ISIDRO,2,2.2986
19,SAN ISIDRO,3,2.2566
19,SAN ISIDRO,4,59.8719
19,SAN ISIDRO,5,187.0407
19,LOS ANDES,3,2.2566
19,LOS ANDES,4,92.3656
19,LOS ANDES,5,312.7502
19,PAN DE AZUCAR,4,102.3656
19,PAN DE AZUCAR,5,344.7502
19,SAN MIGUELITO,5,447.9767
20,SAN ISIDRO,2,3.4763
20,SAN ISIDRO,3,1.4886
20,SAN ISIDRO,4,57.8385
20,SAN ISIDRO,5,189.9055
20,LOS ANDES,3,1.4886
20,LOS ANDES,4,89.9557
20,LOS ANDES,5,352.2794
20,PAN DE AZUCAR,4,104.9557
20,PAN DE AZUCAR,5,387.2794
20,SAN MIGUELITO,5,521.365
21,SAN ISIDRO,2,1.7545
21,SAN ISIDRO,3,0.2548
21,SAN ISIDRO,4,61.5775
21,SAN ISIDRO,5,162.6278
21,LOS ANDES,3,0.2548
21,LOS ANDES,4,97.8267
21,LOS ANDES,5,292.751
21,PAN DE AZUCAR,4,114.8267
21,PAN DE AZUCAR,5,320.751
21,SAN MIGUELITO,5,480.7258
22,SAN ISIDRO,2,1.7502
22,SAN ISIDRO,3,0.7427
22,SAN ISIDRO,4,55.5683
22,SAN ISIDRO,5,168.7896
22,LOS ANDES,3,0.7427
22,LOS ANDES,4,93.8131
22,LOS ANDES,5,291.7812
22,PAN DE AZUCAR,4,103.8131
22,PAN DE AZUCAR,5,326.7812
22,SAN MIGUELITO,5,485.0085
23,SAN ISIDRO,2,1.2701
23,SAN ISIDRO,3,0.2573
23,SAN ISIDRO,4,59.4671
23,SAN ISIDRO,5,209.7171
23,LOS ANDES,3,0.2573
23,LOS ANDES,4,99.5403
23,LOS ANDES,5,372.1524
23,PAN DE AZUCAR,4,105.5403
23,PAN DE AZUCAR,5,403.1524
23,SAN MIGUELITO,5,568.4403
24,SAN ISIDRO,2,3.2422
24,SAN ISIDRO,3,0.0
24,SAN ISIDRO,4,64.3754
24,SAN ISIDRO,5,214.6676
24,LOS ANDES,3,2.4233
24,LOS ANDES,4,110.651
24,LOS ANDES,5,396.7994
24,PAN DE AZUCAR,4,118.651
24,PAN DE AZUCAR,5,433.7994
24,SAN MIGUELITO,5,604.265
25,SAN ISIDRO,2,7.6975
25,SAN ISIDRO,3,0.0
25,SAN ISIDRO,4,65.6357
25,SAN ISIDRO,5,198.1911
25,LOS ANDES,3,0.5767
25,LOS ANDES,4,104.3782
25,LOS ANDES,5,354.4009
25,PAN DE AZUCAR,4,116.3782
25,PAN DE AZUCAR,5,392.4009
25,SAN MIGUELITO,5,594.7197
26,SAN ISIDRO,2,4.5475
26,SAN ISIDRO,3,0.7475
26,SAN ISIDRO,4,62.5025
26,SAN ISIDRO,5,208.1621
26,LOS ANDES,3,0.7475
26,LOS ANDES,4,111.9656
26,LOS ANDES,5,367.8729
26,PAN DE AZUCAR,4,120.9656
26,PAN DE AZUCAR,5,393.8729
26,SAN MIGUELITO,5,584.3213
27,SAN ISIDRO,2,0.7574
27,SAN ISIDRO,3,1.7588
27,SAN ISIDRO,4,65.1102
27,SAN ISIDRO,5,234.2859
27,LOS ANDES,3,1.7588
27,LOS ANDES,4,121.3205
27,LOS ANDES,5,406.1184
27,PAN DE AZUCAR,4,132.3205
27,PAN DE AZUCAR,5,456.1184
27,SAN MIGUELITO,5,726.091
28,SAN ISIDRO,2,2.9415
28,SAN ISIDRO,3,1.229
28,SAN ISIDRO,4,53.794
28,SAN ISIDRO,5,201.8988
28,LOS ANDES,3,1.229
28,LOS ANDES,4,111.8038
28,LOS ANDES,5,367.6977
28,PAN DE AZUCAR,4,125.8038
28,PAN DE AZUCAR,5,409.6977
28,SAN MIGUELITO,5,620.4748
29,SAN ISIDRO,2,2.5666
29,SAN ISIDRO,3,1.0187
29,SAN ISIDRO,4,61.0016
29,SAN ISIDRO,5,227.7871
29,LOS ANDES,3,1.0187
29,LOS ANDES,4,108.9709
29,LOS ANDES,5,374.3169
29,PAN DE AZUCAR,4,119.9709
29,PAN DE AZUCAR,5,421.3169
29,SAN MIGUELITO,5,625.8511
30,SAN ISIDRO,2,1.2265
30,SAN ISIDRO,3,1.7153
30,SAN ISIDRO,4,55.1662
30,SAN ISIDRO,5,193.463
30,LOS ANDES,3,3.3263
30,LOS ANDES,4,99.4405
30,LOS ANDES,5,386.2641
30,PAN DE AZUCAR,4,109.4405
30,PAN DE AZUCAR,5,429.2641
30,SAN MIGUELITO,5,634.1762
31,SAN ISIDRO,2,2.4746
31,SAN ISIDRO,3,2.0035
31,SAN ISIDRO,4,55.5666
31,SAN ISIDRO,5,168.3838
31,LOS ANDES,3,3.1874
31,LOS ANDES,4,109.4328
31,LOS ANDES,5,395.8485
31,PAN DE AZUCAR,4,119.4328
31,PAN DE AZUCAR,5,440.8485
31,SAN MIGUELITO,5,627.7036
32,SAN ISIDRO,2,3.1171
32,SAN ISIDRO,3,2.8535
32,SAN ISIDRO,4,89.2033
32,SAN ISIDRO,5,308.6776
32,LOS ANDES,3,6.3024
32,LOS ANDES,4,173.0691
32,LOS ANDES,5,593.8819
32,PAN DE AZUCAR,4,187.0691
32,PAN DE AZUCAR,5,638.8819
32,SAN MIGUELITO,5,865.9558
33,SAN ISIDRO,2,2.143
33,SAN ISIDRO,3,4.3471
33,SAN ISIDRO,4,78.8631
33,SAN ISIDRO,5,240.8585
33,LOS ANDES,3,5.8901
33,LOS ANDES,4,137.3853
33,LOS ANDES,5,425.0853
33,PAN DE AZUCAR,4,154.3853
33,PAN DE AZUCAR,5,459.0853
33,SAN MIGUELITO,5,668.8985
34,SAN ISIDRO,2,2.7844
34,SAN ISIDRO,3,3.5803
34,SAN ISIDRO,4,79.2928
34,SAN ISIDRO,5,248.4827
34,LOS ANDES,3,4.6044
34,LOS ANDES,4,140.8655
34,LOS ANDES,5,450.4829
34,PAN DE AZUCAR,4,160.8655
34,PAN DE AZUCAR,5,510.4829
34,SAN MIGUELITO,5,782.5118
35,SAN ISIDRO,2,2.9655
35,SAN ISIDRO,3,2.9655
35,SAN ISIDRO,4,67.4858
35,SAN ISIDRO,5,221.7299
35,LOS ANDES,3,4.7534
35,LOS ANDES,4,109.5928
35,LOS ANDES,5,393.4014
35,PAN DE AZUCAR,4,126.5928
35,PAN DE AZUCAR,5,439.4014
35,SAN MIGUELITO,5,727.3851
36,SAN ISIDRO,2,2.9755
36,SAN ISIDRO,3,2.9755
36,SAN ISIDRO,4,65.1997
36,SAN ISIDRO,5,174.4673
36,LOS ANDES,3,3.3768
36,LOS ANDES,4,107.2319
36,LOS ANDES,5,365.4098
36,PAN DE AZUCAR,4,121.2319
36,PAN DE AZUCAR,5,409.4098
36,SAN MIGUELITO,5,670.4813
37,SAN ISIDRO,2,0.8053
37,SAN ISIDRO,3,1.5564
37,SAN ISIDRO,4,56.0211
37,SAN ISIDRO,5,210.2246
37,LOS ANDES,3,2.3552
37,LOS ANDES,4,102.1571
37,LOS ANDES,5,397.3677
37,PAN DE AZUCAR,4,116.8785
37,PAN DE AZUCAR,5,472.9373
37,SAN MIGUELITO,5,781.3058
38,SAN ISIDRO,2,1.4837
38,SAN ISIDRO,3,0.2489
38,SAN ISIDRO,4,57.2071
38,SAN ISIDRO,5,196.2156
38,LOS ANDES,3,1.2498
38,LOS ANDES,4,116.2419
38,LOS ANDES,5,412.5595
38,PAN DE AZUCAR,4,131.5206
38,PAN DE AZUCAR,5,450.9899
38,SAN MIGUELITO,5,770.0263
39,SAN ISIDRO,2,2.0367
39,SAN ISIDRO,3,1.5205
39,SAN ISIDRO,4,67.9445
39,SAN ISIDRO,5,246.7078
39,LOS ANDES,3,1.7208
39,LOS ANDES,4,109.8641
39,LOS ANDES,5,417.55
39,PAN DE AZUCAR,4,118.8641
39,PAN DE AZUCAR,5,469.55
39,SAN MIGUELITO,5,761.2105
40,SAN ISIDRO,2,1.9554
40,SAN ISIDRO,3,2.6934
40,SAN ISIDRO,4,60.8207
40,SAN ISIDRO,5,212.8803
